,Topic,Time,Document
88,2,8,"[14605, 14612, 14613, 14703, 14722, 14795, 14901, 14910, 14913, 14921, 14944, 14957, 14982, 15042, 15066, 15087, 15088, 15100]"
89,2,9,"[15227, 15245, 15292, 15294, 15322, 15350, 15376, 15398, 15399, 15427, 15434, 15435, 15439, 15476, 15552, 15675, 15678, 15709]"
90,2,10,"[16060, 16069, 16070, 16077, 16082, 16106, 16112, 16116, 16117, 16122, 16123, 16134, 16165, 16173, 16196, 16213, 16224, 16240, 16266, 16289, 16294, 16300, 16359, 16366, 16370, 16372, 16380, 16433, 16436, 16453, 16456, 16458, 16471, 16484, 16503, 16534, 16568, 16594, 16598, 16603, 16617, 16651, 16679, 16695, 16703, 16704, 16728, 16731, 16755]"
91,2,11,"[16888, 16893, 16895, 16914, 16938, 16942, 16959, 16961, 16969, 16995, 16999, 17011, 17014, 17029, 17043, 17050, 17062, 17067, 17080, 17084, 17085, 17092, 17093, 17102, 17114, 17115, 17116, 17121, 17142, 17198, 17203, 17228, 17247, 17259, 17328, 17336, 17355, 17364, 17372, 17383, 17415, 17425]"
92,2,12,"[17536, 17539, 17557, 17562, 17563, 17570, 17586, 17594, 17601, 17613, 17615, 17629, 17641, 17647, 17654, 17659, 17661, 17665, 17672, 17680, 17684, 17686, 17687, 17688, 17691, 17705, 17706, 17708, 17715, 17761, 17785, 17790, 17804, 17817, 17818, 17851, 17857, 17874, 17897]"
93,2,13,"[18035, 18045, 18052, 18055, 18056, 18061, 18076, 18087, 18138, 18154, 18157, 18189, 18211, 18224, 18228, 18236, 18248, 18249, 18274, 18288, 18297, 18309, 18316, 18317, 18326, 18342, 18398, 18437, 18470, 18537, 18542, 18544]"
94,2,14,"[18823, 18867, 18981, 18983, 19002, 19063, 19165, 19169, 19226, 19275, 19282, 19295, 19355, 19379, 19520, 19521, 19551, 19593, 19615, 19630, 19643, 19644, 19652, 19653, 19694, 19763, 19778, 19780, 19790, 19803, 19823, 19873]"
95,2,15,"[20135, 20144, 20162, 20165, 20262, 20275, 20297, 20298, 20375, 20380, 20391, 20463, 20473, 20509, 20526, 20530, 20581, 20585, 20635, 20653, 20658, 20666, 20680, 20716, 20732, 20733]"
96,2,16,"[20869, 20873, 20876, 20884, 20928, 20950, 20967, 20985, 21016, 21018, 21038, 21103, 21123, 21162, 21177, 21221, 21243, 21254, 21281, 21285, 21314]"
97,2,17,"[21482, 21502, 21527, 21540, 21635, 21638, 21641, 21674, 21686, 21767, 21768, 21785, 21840, 21853, 21864, 21880, 21884, 21908, 21933, 21951, 22006, 22010, 22052, 22054, 22061]"
